anyo;cut_region;region;cut_provincia;provincia;cut_comuna_anyocenso;cut_comuna;comuna;cut_distrito;distrito;censo_viviendas_totales;censo_viviendas_ocupadas;censo_viviendas_desocupadas;censo_viviendas_urbanas;censo_viviendas_rurales;censo_viviendas_tipo_casa;censo_viviendas_tipo_departamento;censo_viviendas_tipo_otros;censo_viviendas_agua_por_red_publica;censo_viviendas_agua_por_pozo_o_noria;censo_viviendas_agua_por_camion;censo_viviendas_agua_por_rio;censo_viviendas_agua_por_otro;censo_viviendas_agua_no_se_puede_determinar;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado;censo_viviendas_tratamiento_aguas_por_pozo_fosa_septica;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado_o_fosa_septica;censo_viviendas_tratamiento_aguas_por_pozo_negro;censo_viviendas_tratamiento_aguas_por_otro;censo_viviendas_tratamiento_aguas_no_tiene;censo_viviendas_tratamiento_aguas_no_se_puede_determinar;censo_viviendas_electricidad_por_red_publica;censo_viviendas_electricidad_por_generador;censo_viviendas_electricidad_por_ernc;censo_viviendas_electricidad_por_otro;censo_viviendas_electricidad_no_tiene;censo_viviendas_electricidad_no_se_puede_determinar;censo_total_poblacion;num_distrito
1982;15;De Arica y Parinacota;152;Parinacota;206;15202;General Lagos;152024;;43;22;21;0;43;3;0;40;0;12;;7;0.0;24.0;;;0.0;2.0;0.0;;;0.0;;;;19.0;24.0;68;4
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11011;;991;949;42;991;0;541;339;111;895;0;;6;2.0;88.0;;;875.0;11.0;0.0;;;875.0;;;;28.0;88.0;4350;1
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11012;;2047;1916;131;2038;9;1061;282;704;1422;4;;12;450.0;159.0;;;980.0;770.0;0.0;;;1389.0;;;;499.0;159.0;8974;2
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11013;;2363;2293;70;2363;0;2210;7;146;2184;1;;0;67.0;111.0;;;2100.0;93.0;0.0;;;2226.0;;;;26.0;111.0;11409;3
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11014;;3962;3904;58;3962;0;3280;11;671;3775;6;;0;89.0;92.0;;;3473.0;275.0;0.0;;;3756.0;;;;114.0;92.0;20864;4
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11015;;7013;6611;402;6972;41;5833;508;672;6440;5;;0;52.0;516.0;;;6060.0;365.0;0.0;;;6431.0;;;;66.0;516.0;33751;5
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11016;;1105;1072;33;1105;0;864;89;152;997;0;;0;47.0;61.0;;;944.0;85.0;0.0;;;1031.0;;;;13.0;61.0;5164;6
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11017;;2987;2887;100;2987;0;2568;145;274;2758;0;;0;23.0;206.0;;;2638.0;88.0;0.0;;;2747.0;;;;34.0;206.0;12592;7
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11018;;3214;3107;107;3214;0;2621;117;476;2971;0;;0;9.0;234.0;;;2832.0;56.0;0.0;;;2940.0;;;;40.0;234.0;13206;8
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11019;;90;87;3;0;90;86;0;4;77;3;;0;5.0;5.0;;;15.0;69.0;0.0;;;56.0;;;;29.0;5.0;381;9
1982;1;De Tarapacá;11;Iquique  ;210;1101;Iquique;11020;;88;87;1;0;88;18;0;70;4;0;;0;75.0;9.0;;;6.0;11.0;0.0;;;9.0;;;;70.0;9.0;300;10
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14041;;251;187;64;0;251;235;1;15;159;0;;0;1.0;91.0;;;30.0;128.0;0.0;;;117.0;;;;43.0;91.0;504;1
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14042;;348;164;184;0;348;173;0;175;11;0;;144;0.0;193.0;;;15.0;15.0;0.0;;;49.0;;;;106.0;193.0;490;2
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14043;;278;155;123;0;278;45;0;233;9;0;;143;0.0;126.0;;;1.0;5.0;0.0;;;63.0;;;;89.0;126.0;525;3
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14044;;69;46;23;0;69;63;0;6;37;2;;0;0.0;30.0;;;16.0;19.0;0.0;;;28.0;;;;11.0;30.0;174;4
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14045;;30;16;14;0;30;16;0;14;0;1;;11;1.0;17.0;;;0.0;9.0;0.0;;;1.0;;;;12.0;17.0;36;5
