anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;291;3;681
1982;291;4;1745
1982;291;5;32
1982;291;6;677
1982;291;7;2042
1982;292;1;3097
1982;292;2;1235
1982;292;3;1127
1982;292;4;1451
1982;292;5;2370
1982;292;6;440
1982;293;1;821
1982;293;2;927
1982;293;3;2062
1982;293;4;977
1982;294;1;11167
1982;294;2;3285
1982;294;3;2554
1982;294;4;845
1982;295;1;4970
1982;295;2;1589
1982;295;3;711
1982;295;4;926
1982;295;5;1319
1982;295;6;685
1982;300;1;4792
1982;300;2;14578
1982;300;3;7646
1982;300;4;3104
1982;300;5;9714
1982;300;6;3767
1982;300;7;3812
1982;300;8;2106
1982;300;9;349
1982;300;10;743
1982;300;11;2184
1982;300;12;6469
1982;301;1;1735
1982;301;2;281
1982;301;3;2735
1982;301;4;1887
1982;301;5;3142
1982;302;1;25325
1982;302;2;6774
1982;302;3;8183
1982;302;4;878
1982;303;1;3278
1982;303;2;3463
1982;303;3;8225
1982;303;4;522
1982;303;5;784
1982;304;1;1842
1982;304;2;2450
1982;304;3;2347
1982;304;4;1867
1982;304;5;3311
1982;305;1;10063
1982;305;2;2435
1982;305;3;906
1982;305;4;4338
1982;305;5;6150
1982;305;6;2193
1982;305;7;3641
1982;305;8;866
1982;306;1;3292
1982;306;2;4759
1982;306;3;1649
1982;306;4;596
1982;306;5;1065
1982;310;1;23137
1982;310;2;7981
1982;310;3;24794
1982;310;4;696
1982;310;5;16512
1982;310;6;8673
1982;310;7;1413
1982;310;8;14430
1982;310;9;7342
1982;310;10;14030
1982;310;11;2720
1982;310;12;7709
1982;310;13;5716
1982;310;14;7863
1982;310;15;6170
1982;310;16;13775
1982;310;17;16750
1982;310;18;11285
1982;310;19;33070
1982;310;20;25307
1982;310;21;5048
1982;310;22;437
1982;310;23;17662
1982;311;1;5984
1982;311;2;6779
1982;311;3;9304
1982;311;4;42770
1982;311;6;80096
1982;311;7;44046
1982;311;8;7915
1982;311;9;4197
1982;311;10;20412
1982;311;11;28518
1982;312;1;13352
